,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
6757,-1.6336536316909802,0.2689951816411988,0.2126549106215716,-0.018777776356100312,0.17108143772326012,-0.20233611108870633,0.13776229605756846,-0.05140595011696735,-0.009730976013038583,-0.01261517916158846,-0.00434787672024241,0.030421885745927336,0.0034983726137020957
6801,-0.5224854809020902,-0.21108705461340369,-0.11711071965703822,0.025085059441992887,0.0151567971511738,0.07399688121176173,0.030449869077681966,0.07070734572772663,-0.06146456070537271,0.047736453256990004,0.009997693615365373,0.005834702401807426,0.0019575849821386053
6593,-0.7793037749376371,0.1893832968386572,-0.11499488173602586,-0.17513288033080263,-0.139683158880638,-0.12525520444625488,-0.016319089655225327,-0.08369158891168177,-0.033601778142502536,-0.003374970650390818,-0.013935891718513518,-0.03649218102463407,0.020736851599813103
3532,3.133770048735914,-1.6218926893141699,-1.4386151882189646,-0.13757371550955771,-0.8098089124780783,0.8517783990753383,-0.5979151948861785,0.43624269785118247,-0.34974788422387504,0.2845605892423432,0.13361156553078535,-0.08870180990874901,-0.04897432931243293
3057,-1.2509440114650583,0.10908712032859633,0.24913010543561143,0.2636978049711684,0.21437823497610636,-0.07268915467808941,0.05318373673190138,0.020686252381723027,0.11783996724805591,0.005482442084325005,-0.02848962030953602,-0.014142371199525569,-0.006818807742511274
1249,-0.13663922558180566,-0.07013896745228852,-0.17070611278302705,-0.0858571783915062,-0.18204844533287085,0.04662523283741081,-0.1841142118363334,0.04776421838833018,0.07100080433455003,-0.0428486076504502,0.01099283897715742,-0.019187985448027613,0.009604495518617985
2617,-0.21002080227230188,0.059930904450192585,-0.20649566350058698,-0.26477234626667123,-0.21922116504995545,0.01814851312551865,-0.09879031493289432,-0.03984354387611342,0.06029490196517007,-0.020023865855570262,-0.058392962244829365,0.04745904236364056,0.06159988042973991
1512,-1.1678252206340194,0.04465111586041667,0.006545676304507289,0.10406587249711177,0.057425962241776235,0.0014907236067220032,-0.010328936636006732,0.15151836800691412,0.12914037531608363,-0.004554301032767554,-0.010473394102657525,0.0028550759009830706,0.006480951963291561
331,-0.6866101268126469,-0.18638420248618934,-0.2630499774541851,0.24865475945986723,-0.10674199861961944,0.1317076166637966,-0.05760135500930854,0.22683855400361572,0.2093156487271288,-0.013206922808275694,-0.0739539045872955,0.01049525019735881,0.05369886324447248
2943,0.020664398531746845,-0.3030489480203963,-0.1435462931464403,0.002053464747513244,-0.04236012386119932,0.05945004727413479,-0.10032543478298515,0.09972700207586223,-0.10209903361683212,0.0866071945153364,0.001868820688905693,-0.035441743369247325,-0.007817143542535121
3984,-1.7447545661616215,0.30762229129358315,0.3079277781083653,0.026924715109840982,0.25785119148111807,-0.2039387415656367,0.2206759487467252,-0.08921655126892751,0.00642695222007325,-0.014314209402159153,0.003022540645252942,0.01984761665118173,-0.007075671970331998
849,-0.15402665669409918,-0.21477669857103024,-0.22968661810877447,-0.1848293906268294,-0.12272627957749961,-0.07671833691820973,-0.027371760647743406,-0.008927482038889345,-0.12278155835786524,0.02240745129570511,0.006990237009082742,-0.03188420809294891,0.019132830057183286
