,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE
5532,10.5,158.0,184.0,6.66,43.4,49.1,86.2,1.47,7.07,397.0,40.4,798.0,412.0,25.7,929.7,0.027643325774289202,0.38020660464203554,0.0035679611563884436,0.49749373371241384,0.10533980556956357,2193.8,168.75384615384615,226.3979705174891,798.0,1.47,796.53
6757,3.13,31.0,45.0,0.08,7.56,11.0,17.0,0.52,1.43,84.0,9.31,302.0,85.0,5.16,198.31,0.026019867752408513,0.02433106116141439,0.006117646986851212,0.2781456944432262,0.08894117542422146,597.03,45.925384615384615,79.23582907667122,302.0,0.08,301.92
6801,7.25,100.0,194.0,0.2,18.0,41.0,83.0,1.32,2.52,100.0,43.0,486.0,409.0,11.29,870.0,0.012977011479336768,0.029695693218491456,0.003227383855189771,0.2057613164490508,0.04400977984349687,1485.29,114.25307692307692,152.47136999271575,486.0,0.2,485.8
6593,22.08,96.12,145.16,3.46,32.44,35.15,49.85,5.6,7.32,51.57,29.31,31.85,264.61,38.46,620.1999999999999,0.062012254011589406,0.22453297701626618,0.021163221264641464,1.6191522254583288,0.12259551746874449,774.52,59.57846153846154,70.20548114106562,264.61,3.46,261.15000000000003
3532,24.3,352.0,717.0,1.54,64.7,146.4,281.0,3.02,10.1,88.0,151.8,151.0,1380.0,38.96,3028.2000000000003,0.012865728811549524,0.06024318066403147,0.0021884057955156478,0.5827814530941626,0.046884057937040535,3370.8599999999997,259.29692307692306,374.90631197642335,1380.0,1.54,1378.46
3057,19.5,30.9,80.0,0.46,6.3,13.8,68.4,0.45,0.8,262.0,21.8,582.0,251.0,21.21,465.90000000000003,0.0455247906299103,0.2049002651387858,0.0017928286781162205,0.45017182053235083,0.025099601493627086,1337.41,102.87769230769231,163.1185009623771,582.0,0.45,581.55
1249,33.5,132.6,223.9,1.69,35.3,46.9,87.1,5.23,7.86,239.0,46.0,134.0,519.0,48.28,1055.5,0.0457413547648116,0.10145841609862313,0.010077071271527802,1.7835820762419248,0.06801541412713792,1512.08,116.31384615384614,138.85201810330648,519.0,1.69,517.31
2617,34.0,143.0,190.0,3.0,40.0,49.0,57.0,6.0,11.0,118.0,44.0,75.0,466.0,54.0,949.0,0.0569020020475216,0.1430193882243168,0.012875536453056788,1.573333312355556,0.08583690968704526,1236.0,95.07692307692308,119.69413682604734,466.0,3.0,463.0
1512,8.1,45.7,107.2,0.92,8.5,19.2,61.6,1.24,1.85,105.0,26.4,131.0,334.0,12.11,594.1,0.020383773741148335,0.23200240475905223,0.003712574839183908,0.8015267114387274,0.02544910172021227,850.7099999999999,65.43923076923076,88.8630530182031,334.0,0.92,333.08
331,11.59,74.7,151.15,1.06,14.14,31.23,121.83,0.63,2.24,21.14,42.11,70.47,539.98,15.520000000000001,961.0000000000001,0.0161498438957858,0.18834632231650963,0.001166709875982981,0.29998580530742436,0.026186154994284686,1082.27,83.25153846153846,139.57325360078863,539.98,0.63,539.35
2943,14.4,133.0,255.0,0.55,28.9,54.3,105.0,5.3,5.02,296.0,56.2,533.0,500.0,25.27,1103.5,0.02289986404811974,0.04566273371258287,0.0105999999788,0.5553470908905308,0.057799999884399995,1986.67,152.82076923076923,179.5384371300491,533.0,0.55,532.45
3984,4.67,18.0,29.0,0.31,4.85,6.2,10.7,0.49,1.12,89.0,5.8,519.0,51.0,6.59,120.7,0.05459817684674253,0.13300922813705207,0.009607842948865825,0.17148362202026277,0.09509803735101888,740.14,56.933846153846154,135.63028794588627,519.0,0.31,518.69
849,4.24,141.27,232.38,0.4,37.15,53.49,83.19,2.31,6.13,146.21,47.08,353.63,422.04,13.08,979.4500000000002,0.013354433597065255,0.02650637537792545,0.005473414829226105,0.41345473966163865,0.08802483156093063,1529.52,117.65538461538462,133.5866678409641,422.04,0.4,421.64000000000004
4321,20.61,119.6,191.1,0.35,23.2,43.2,55.7,2.53,5.12,50.41,40.8,161.42,381.0,28.610000000000003,831.4,0.03441183541687295,0.032113605619533865,0.006640419930077637,0.3122909161671979,0.060892388291621025,1095.04,84.23384615384614,103.76439418505616,381.0,0.35,380.65
812,6.05,200.61,414.73,1.58,27.43,60.45,128.87,1.81,4.01,104.79,65.4,313.46,1066.82,13.45,1936.88,0.006944157610722317,0.15065099169681392,0.0016966311076876783,0.3343010261778185,0.025711928886117685,2396.01,184.30846153846156,283.2955992991217,1066.82,1.58,1065.24
593,16.46,53.55,92.95,0.55,13.85,19.87,41.93,1.13,2.38,140.36,19.97,199.95,193.33,20.52,421.6,0.04867172663977294,0.09579642844358356,0.0058449283306008975,0.7019754903627133,0.07163916582196676,796.2800000000001,61.252307692307696,69.51064059705548,199.95,0.55,199.39999999999998
5936,5.45,180.0,297.0,0.9,47.93,66.0,111.0,4.01,8.39,212.0,59.0,326.0,529.0,18.75,1242.0,0.015096618345332834,0.04488051316270155,0.007580340250320718,0.6503067464714517,0.09060491476256159,1846.6799999999998,142.0523076923077,154.8987545340924,529.0,0.9,528.1
1834,14.1,159.5,261.0,0.46,37.1,54.8,78.3,4.32,7.73,100.0,51.2,97.0,576.0,26.610000000000003,1180.8,0.022535569086606057,0.027163212374444953,0.007499999986979167,1.0309278244234246,0.06440972211039979,1441.5100000000002,110.88538461538464,151.48319940434035,576.0,0.46,575.54
2647,6.84,104.0,166.3,0.96,22.1,39.2,68.9,2.05,4.84,75.0,36.4,105.0,338.0,14.690000000000001,752.8,0.019513815064407795,0.09282231879770858,0.0060650887394524,0.7142857074829932,0.06538461519116978,969.5899999999999,74.58384615384615,89.96687164117361,338.0,0.96,337.04
5674,7.9,104.0,191.0,0.2,20.0,39.0,76.0,0.8,2.6,229.0,40.0,779.0,434.0,11.5,884.0,0.013009049759039536,0.027735009544578675,0.001843317968102954,0.293966623499401,0.04608294920257385,1923.5,147.96153846153845,218.33246186796282,779.0,0.2,778.8
3083,21.17,233.0,415.0,2.09,57.6,89.7,158.1,4.3,11.1,222.0,88.1,328.0,757.0,38.66,1740.8999999999999,0.022206904461941002,0.08265584206547393,0.005680317033447401,0.676829266229179,0.07608982816896985,2387.16,183.62769230769229,208.0675971946782,757.0,2.09,754.91
5743,6.1,336.0,521.0,0.6,84.0,116.0,155.0,9.5,16.0,382.0,99.0,751.0,986.0,32.2,2213.0,0.014550384087415102,0.01636634176161076,0.009634888428362182,0.5086551258206989,0.08519269768236035,3462.2,266.3230769230769,303.70988979577754,986.0,0.6,985.4
3704,5.62,44.2,71.1,0.82,13.9,17.3,33.9,1.46,2.56,45.0,16.31,74.0,155.2,10.46,338.00999999999993,0.030945829913476445,0.1374632043948353,0.009407216434231853,0.6081080998904311,0.08956185509302929,481.37,37.02846153846154,41.80648419456077,155.2,0.82,154.38
6608,31.52,171.52,239.51,6.48,56.39,57.8,80.81,8.83,13.23,82.82,50.05,35.94,435.65,60.06,1035.34,0.05800992904938481,0.23724334362068672,0.020268564167867407,2.3043961517975475,0.12943876935742277,1270.5500000000002,97.7346153846154,116.81465487721496,435.65,6.48,429.16999999999996
