,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
6215,31.84,246.0,418.0,0.26,55.3,94.0,149.0,4.74,8.44,1414.0,87.0,3008.0,766.0
5118,4.92,43.6,81.0,0.93,10.58,16.6,43.9,1.08,5.08,28.0,20.2,74.8,189.5
6346,4.18,26.45,63.87,0.39,5.78,12.32,50.18,0.21,0.96,127.84,17.11,165.88,174.56
5826,6.33,110.0,184.0,0.23,24.8,43.0,72.3,4.06,5.58,71.88,39.7,161.68,318.0
2228,18.8,130.7,244.7,0.16,25.3,48.9,79.2,1.77,4.09,105.0,50.2,233.0,563.0
5360,29.2,116.0,191.0,0.88,31.4,47.4,76.2,1.9,5.62,324.0,43.5,238.0,345.0
1371,41.4,262.0,454.0,1.65,54.8,98.7,213.0,5.61,10.1,1492.0,106.0,8568.0,1002.0
4270,8.46,42.0,75.0,0.09,9.6,15.4,27.3,0.72,1.64,29.0,14.5,104.0,136.0
2220,16.4,147.2,255.5,4.29,39.2,50.3,104.0,4.76,8.0,672.0,54.9,213.0,678.0
6207,16.33,342.0,564.0,0.2,75.06,128.0,187.0,4.03,11.2,1034.0,113.0,2511.0,946.0
6142,22.07,434.0,807.0,0.0,70.73,169.0,348.0,6.98,13.8,1806.0,191.0,7631.0,1804.0
5655,1.51,113.6,237.6,0.29,11.14,46.74,152.9,0.19,0.75,4.59,75.03,561.7,934.3
3715,11.9,190.0,324.0,1.07,37.0,70.9,128.1,2.04,6.1,294.0,71.0,579.0,673.0
1087,53.16,90.38,159.38,1.47,18.05,24.55,53.27,1.5,3.53,583.92,26.16,643.59,452.64
5408,210.0,803.7,640.9,232.58,318.2,190.1,336.6,245.69,199.85,478.0,153.5,4050.0,1733.0
208,221.0,194.0,322.0,7.4,43.9,68.8,133.0,80.1,27.2,418.0,73.0,1754.0,714.0
4365,23.1,64.0,113.0,1.04,17.6,22.7,45.1,2.53,3.8,301.0,23.9,388.0,217.0
4048,4.08,21.2,52.4,0.07,3.36,9.6,37.1,0.07,0.27,84.0,14.6,405.0,152.0
938,128.5,197.46,146.14,33.83,150.4,42.33,48.8,80.91,82.95,242.96,27.97,563.15,249.79
1887,11.8,60.2,116.8,0.35,12.2,24.2,44.2,0.77,1.78,80.0,24.9,86.0,273.0
5537,84.3,782.0,1231.0,1.25,173.5,240.0,793.0,69.2,66.9,2221.0,322.0,7105.0,4503.0
2195,19.0,73.6,142.7,0.37,13.8,27.8,54.7,0.88,2.15,104.0,30.4,132.0,371.0
3227,11.37,188.6,355.0,0.47,41.6,73.7,134.7,1.72,5.05,298.0,76.0,769.0,670.0
3389,53.6,672.0,1033.0,0.14,153.0,240.0,292.2,7.76,22.2,628.0,202.0,1182.0,1570.0
6935,16.4,94.97,127.64,4.9,31.7,30.49,43.75,6.7,8.32,32.84,27.08,16.38,236.64
4452,7.79,65.74,126.8,0.38,15.11,26.59,57.16,0.85,2.31,115.1,27.77,271.38,273.75
4762,29.9,183.8,287.9,0.43,40.3,64.3,76.7,3.6,7.5,60.19,59.8,182.92,533.0
4874,17.7,53.9,112.0,0.4,11.25,21.7,52.6,1.16,2.03,52.71,28.2,150.72,306.8
6439,2.95,31.13,67.57,0.23,5.91,12.12,32.47,0.46,0.99,310.39,15.12,802.04,161.43
5660,4.39,161.5,269.4,0.87,34.75,61.71,92.63,1.35,3.81,56.12,60.59,117.5,595.3
7189,829.0,209.0,114.0,0.5,161.0,41.0,18.0,1107.0,240.0,2197.0,18.0,574.0,139.0
2508,1.56,233.0,420.0,0.88,26.6,84.9,136.0,0.69,2.79,26.5,86.6,522.0,843.0
4854,8.37,54.9,95.8,0.29,13.19,20.74,33.49,1.29,2.53,44.76,21.62,117.9,215.6
2538,1.7,87.6,86.0,0.52,14.7,24.1,16.8,0.29,1.54,15.1,15.1,753.0,127.0
3037,22.2,190.0,360.0,1.15,27.0,76.0,191.0,1.06,4.25,245.0,89.2,611.0,880.0
2293,18.2,196.0,229.0,5.8,89.0,50.5,61.0,15.0,18.5,131.3,38.5,609.0,313.0
225,2.08,124.0,196.0,0.25,27.9,46.7,60.6,2.36,3.98,119.0,39.7,126.0,341.0
6343,2.33,9.73,24.63,0.31,1.87,4.52,22.39,0.04,0.14,15.6,6.42,741.28,66.6
4790,16.67,113.5,181.3,1.72,28.1,40.4,64.8,2.67,4.85,18.55,39.4,28.3,381.0
2805,26.5,58.0,108.0,0.97,14.0,21.2,62.9,1.45,2.66,415.0,25.4,779.0,273.0
4192,2.27,126.0,207.0,0.2,29.5,44.3,68.5,2.45,5.66,121.0,41.1,263.0,355.0
4716,13.02,66.6,114.0,0.66,15.4,24.5,40.8,2.57,3.19,93.04,26.1,173.46,268.3
861,15.52,17.42,45.14,0.11,3.31,7.96,32.4,0.1,0.41,124.08,11.56,326.04,129.87
3931,3.47,73.9,125.1,0.36,17.1,27.1,39.1,1.12,2.23,20.0,26.4,97.0,219.0
2928,56.0,164.0,377.0,1.0,27.0,73.0,202.0,2.0,4.0,744.0,99.0,729.0,1151.0
6945,60.46,103.58,184.5,1.13,21.98,41.24,73.06,1.77,3.93,180.58,39.49,157.11,377.9
1862,20.4,101.5,186.6,0.94,22.2,37.9,70.1,1.66,3.86,161.0,40.3,169.0,445.0
4309,30.24,18.0,28.0,0.71,7.19,6.2,11.4,0.89,1.71,67.0,5.7,148.0,53.0
4295,54.4,49.0,82.0,1.33,14.5,18.0,27.9,2.24,3.29,274.0,16.4,258.0,142.0
6598,17.6,20.4,33.2,0.61,6.16,7.42,14.9,1.15,1.41,54.4,7.24,71.4,71.6
3619,6.03,77.2,139.5,0.28,16.4,30.7,51.8,0.89,2.27,95.0,30.1,218.0,275.0
3248,7.9,120.0,185.0,0.55,30.6,45.2,73.0,4.0,4.82,89.0,38.6,180.0,337.0
988,15.5,108.0,243.0,1.29,17.2,47.2,128.0,0.56,2.45,79.7,57.8,574.0,617.0
3506,9.3,66.5,143.0,0.13,12.2,28.9,70.4,0.47,1.41,80.0,34.3,656.0,341.0
1233,9.78,137.04,263.07,0.16,25.55,41.36,70.42,1.9,4.34,177.62,39.16,316.51,625.89
4371,19.58,57.0,106.0,0.64,11.5,22.2,43.0,0.95,2.59,67.0,22.0,26.0,206.0
1669,6.4,48.8,88.6,0.31,10.7,18.8,32.2,0.68,1.51,81.0,18.2,143.0,195.0
3299,6.1,99.0,183.0,0.5,24.2,39.0,65.5,1.06,3.82,99.0,35.3,231.0,326.0
5551,768.5,914.0,1210.0,1.99,363.7,250.0,621.0,591.8,311.7,4139.0,292.0,7936.0,3700.0
3982,23.9,31.2,59.5,0.65,6.0,12.3,43.1,0.55,1.3,213.0,15.3,448.0,183.0
2536,2.41,91.2,85.3,0.62,17.2,24.4,17.4,0.34,2.08,19.8,15.0,785.0,128.0
1368,36.8,252.0,503.0,0.82,42.3,103.0,250.0,1.8,5.18,851.0,117.0,7551.0,1159.0
3764,34.9,97.8,192.4,1.47,28.8,37.3,91.2,2.13,4.19,113.0,41.2,158.0,446.0
54,40.37,86.8,199.81,0.49,14.04,39.31,99.32,0.46,1.62,202.0,50.26,403.0,480.38
1263,14.77,107.64,197.52,0.35,21.3,30.91,55.58,1.9,4.2,208.95,30.29,157.23,489.33
3042,12.5,91.2,183.0,0.64,14.0,37.3,121.0,1.15,2.34,272.0,44.8,757.0,480.0
3130,15.6,102.6,202.7,0.31,14.0,43.3,109.9,1.96,2.26,327.0,56.5,831.0,538.0
4852,14.99,196.7,273.4,1.7,59.1,65.5,73.6,10.31,16.17,34.06,55.5,113.68,521.0
740,17.1,107.2,186.0,1.24,24.6,37.8,73.2,1.24,3.56,274.0,37.1,513.0,404.0
6219,16.13,195.0,336.0,0.11,40.67,75.0,126.0,2.73,6.55,761.0,70.0,2096.0,635.0
4276,67.1,415.0,640.0,0.81,104.3,148.3,169.6,8.26,16.3,311.0,115.4,667.0,879.0
1867,11.9,35.0,59.6,0.16,7.8,12.1,23.7,0.8,1.67,214.0,13.1,183.0,154.0
4765,20.08,147.0,252.0,0.65,31.5,54.7,82.9,2.41,5.9,88.83,56.3,209.74,551.0
821,23.58,41.8,91.2,0.5,8.85,18.0,56.3,1.61,1.68,261.0,22.2,364.0,234.0
4869,11.06,46.9,87.1,0.68,10.26,17.46,39.9,1.12,1.98,124.26,20.63,189.47,227.6
307,8.11,59.01,116.05,1.17,11.89,23.76,100.54,1.02,2.06,15.44,32.37,52.37,428.18
2123,29.1,72.9,135.1,1.32,19.6,26.4,57.3,1.79,3.63,258.0,28.2,239.0,319.0
4652,52.3,274.0,396.0,6.4,63.6,91.4,112.7,21.3,25.3,87.31,83.8,187.53,772.0
5415,36.7,235.9,309.2,13.23,60.6,76.9,161.7,40.2,26.72,57.0,76.3,3404.0,863.0
2001,17.1,48.2,100.2,0.17,8.9,19.3,42.4,0.47,1.14,91.0,23.1,115.0,263.0
3514,28.8,39.0,63.5,1.73,11.5,13.4,38.5,2.5,3.49,249.0,14.2,1095.0,191.0
3461,8.86,118.0,159.0,0.85,38.2,37.8,56.7,6.4,10.2,139.0,30.4,197.0,272.0
5037,4.39,19.41,31.7,0.52,5.1,7.03,14.38,0.44,2.13,11.29,7.52,80.4,91.3
2828,0.74,36.9,113.0,0.02,3.24,17.5,67.3,0.05,0.3,39.0,30.2,1790.0,341.0
7200,363.0,1052.0,728.0,20.0,675.0,241.0,106.0,474.0,425.0,2379.0,113.0,936.0,760.0
4901,11.4,109.7,169.82,1.26,33.86,39.29,65.19,7.06,8.49,206.4,34.22,196.35,330.99
4816,13.44,78.6,144.3,0.12,13.1,29.9,46.2,0.81,2.13,22.22,33.2,151.02,307.0
7039,18.21,81.01,123.66,1.22,21.02,27.14,42.28,2.62,5.2,37.5,26.6,40.74,255.32
1896,9.7,73.5,137.4,0.34,14.9,28.8,51.9,0.67,2.17,88.0,28.7,107.0,307.0
5030,17.19,84.9,162.1,0.8,17.73,31.9,69.4,1.07,7.25,125.2,38.9,217.0,295.0
3425,0.38,73.1,191.0,0.28,6.13,33.6,147.0,0.18,0.6,9.0,55.1,1059.0,630.0
742,27.07,81.2,175.0,0.7,15.4,35.0,96.1,0.75,2.18,335.0,41.2,639.0,421.0
