,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,Ce_log,Dy_log,Er_log,Eu_log,Gd_log,Ho_log,Lu_log,Nd_log,Sm_log,Th_log,Tm_log,U_log,Yb_log,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE,x_3d,y_3d,z_3d,dist_to_center
1700,47.47145188,420.7317073,1254.375,26.64298401,123.1155779,723.4432234,3382.113821,4.879649891,31.41891892,7275.862069,1797.57085,20625.0,3167.701863,3.8809750036071398,6.044369347159998,7.135189611713503,3.3193719529130354,4.821213211327067,6.585403392092261,8.126551813204383,1.7714972177908808,3.478742169668872,8.892455013790647,7.494747656299152,9.934307694876015,8.061077276060399,110.413004701,10745.9364647,0.010274861111772598,0.4283815336561227,0.0015404384946878322,0.3527690699950172,0.03886589811344696,38880.327116301,2990.7943935616154,5470.5012647528165,20625.0,4.879649891,20620.120350109,-0.4150166986322526,0.669614337588028,0.6159365054556618,103.85832253852895
1665,25.61174551,293.902439,831.25,13.32149201,86.4321608,492.6739927,2097.560976,3.785557987,21.75675676,4413.793103,1194.331984,12625.0,2074.534161,3.2813526788548084,5.686644586387233,6.724132876455134,2.6617613467474897,4.470863187516244,6.20187536553009,7.649007139296938,1.5656026298095407,3.12486210174062,8.392716249652333,7.086179236661976,9.44351345892757,7.637973826524108,64.475552267,6984.2535527,0.009231559503283386,0.3071978027806865,0.0018247749573573906,0.34960737446735785,0.041663406842465875,24173.954368767,1859.5349514436155,3340.642947238998,12625.0,3.785557987,12621.214442013,-0.4150166986322526,0.669614337588028,0.6159365054556618,103.85832253852895
1643,11.41924959,60.97560976,195.0,2.131438721,15.57788945,106.2271062,699.1869919,0.962800875,5.202702703,2413.793103,291.4979757,58500.0,565.2173913,2.5192476551953,4.126740916678823,5.278114659230517,1.1414925542145042,2.808069846670806,4.674949073017208,6.55134743065591,0.674372471025238,1.8249851169043056,7.789368890781038,5.678457745964202,10.97679912709094,6.338978088030875,19.716191888999997,1918.10507486,0.010278994689673119,0.23675765775180424,0.0017034169296916732,0.04126142056339724,0.027560881286065833,62867.192259199,4835.937866092231,15504.345045112967,58500.0,0.962800875,58499.037199125,-0.40720747260998297,0.6637218802179912,0.6274195884497746,103.62843581842965
4510,27.5040783,432.9268293,1078.75,6.571936057,119.5979899,708.7912088,2256.097561,3.501094092,30.27027027,1979.655172,1529.554656,12325.0,2260.869565,3.3500471752826417,6.072875923803538,6.984484811840811,2.0244487886468665,4.792462616658327,6.5649708546750025,7.72183500184699,1.504320498780143,3.442667814540809,7.591182963904416,7.333385468953326,9.419466131522189,7.723946991441398,67.847378719,8266.9898201,0.008207023376977169,0.10922529834261852,0.0015485608478485752,0.16062110927702872,0.05289911089899647,22759.090360719,1750.6992585168462,3167.0287688069247,12325.0,3.501094092,12321.498905908,-0.2436489262655352,-0.7388886186195074,0.6282346774925816,126.30257026730466
4453,27.19412724,461.3821138,1133.125,30.55062167,141.2060302,739.9267399,2634.146341,5.842450766,32.77027027,639.6551724,1595.1417,3537.5,2366.459627,3.339113702355504,6.136391635381656,7.033616707489793,3.4515932930720177,4.957276922939772,6.607901753876756,7.876693996814724,1.9231459665834638,3.5195808376227795,6.462491359598167,7.3753445585298,8.171458187515839,7.769572771905326,96.357469946,8930.1815217,0.01079009085101629,0.44911071695707677,0.002468857147137437,0.18082125009729436,0.05966973977888626,13344.900194246002,1026.5307841727695,1122.3089734116372,3537.5,5.842450766,3531.657549234,-0.2436489262655352,-0.7388886186195074,0.6282346774925816,126.30257026730466
2893,15.36704731,277.6422764,1100.0,3.730017762,66.83417085,514.6520147,3585.365854,1.334792123,7.905405405,8793.103448,1692.307692,102125.0,2434.782609,2.7952700030920625,5.629928795705683,7.00397413672268,1.553928957676495,4.217066062821367,6.24543214786198,8.184894671827804,0.8479228606052993,2.186658441252814,9.081836713146663,7.434439109270084,11.533962624036029,7.798023383878774,28.3372626,9604.7504461,0.0029503382473155225,0.16227422513743034,0.0005482181930813117,0.08610138015093169,0.02744974872725907,120618.02532755,9278.30964058077,26905.685071374613,102125.0,1.334792123,102123.665207877,-0.41703599088570187,-0.6993068523449949,0.5805608569041804,138.79545235393124
447,31.92495922,136.5853659,473.125,6.74955595,34.8241206,265.5677656,1878.04878,0.875273523,6.554054054,6655.172414,744.9392713,39125.0,1204.968944,3.4942310090560644,4.924244567372488,6.161471000009063,2.0476355449495394,3.5786214263089726,5.585628491207191,7.538520959693844,0.6287545277164105,2.0220843799437738,8.803299885711226,6.6146441911260565,10.574542486621258,7.095038625711781,46.103842747,4703.2351268,0.0098025808819313,0.4467659973934799,0.0007263867891632676,0.1701002533886236,0.02890042996087339,50564.335504147,3889.564269549769,10318.888633994526,39125.0,0.875273523,39124.124726477,-0.01849603534857333,0.8476612993254503,0.5302152565725299,73.31709600703468
6092,1.827079935,121.7479675,86.6875,2.841918295,97.93969849,109.7069597,71.95121951,1.663019694,28.91891892,1594.482759,82.18623482,101040.0,74.9689441,1.039244353868835,4.810133208492737,4.473779357862679,1.3459717978526657,4.594510558392453,4.70688670765706,4.28979099189555,0.9794607022231498,3.398491020100546,7.37493163964299,4.421081887264319,11.523281654045864,4.330324626511076,35.250936844,547.2488256299999,0.06441482398615263,0.05339999047772455,0.022182781040625845,0.015780708224309378,1.3064035829683829,103314.92221996399,7947.301709228,26876.657708867362,101040.0,1.663019694,101038.336980306,-0.45880735074800916,0.5339780399514632,0.7101853756232854,113.17547956215445
646,43.55628059,406.504065,1218.75,34.10301954,107.0351759,738.0952381,3634.146341,1.969365427,20.2027027,10310.34483,1761.133603,100875.0,2776.397516,3.796753122431469,6.010050908091285,7.106401198695947,3.5582871535523557,4.6824568768723625,6.6054267869342045,8.19840464802933,1.0883482690430963,3.054128659401393,9.241000007883773,7.474280628252684,11.521647318782097,7.929269622903247,99.83136825700001,10535.0267631,0.009476138076572653,0.7333728597274055,0.0007093240124807388,0.10220911851199793,0.03855181948716604,121927.238137257,9379.018318250539,26551.45706607717,100875.0,1.969365427,100873.030634573,-0.21901400193085283,0.7994837885460657,0.5593375893056555,87.33962947119338
2044,56.96574225,414.6341463,1181.25,46.53641208,128.8442211,712.2710623,3861.382114,6.411378556,41.14864865,10034.48276,1936.032389,42875.0,3298.136646,4.059852185181413,6.029805417303326,7.075174681523985,3.8614959874810624,4.86633543269022,6.569861519696162,8.259039400092988,2.00301646195073,3.741202623435695,9.213882367696622,7.568912384485577,10.66606750781141,8.101416090801212,151.062181536,11403.7063576,0.013246761779522482,0.639120334734902,0.0019439396368952206,0.2340404142219466,0.03906576194082113,64593.095520236,4968.699655402769,11264.810167313706,42875.0,6.411378556,42868.588621444,0.1172293098681991,0.8569070966724083,0.5019636606172699,64.39191170692136
1076,24.95921697,186.1788618,616.25,1.953818828,34.67336683,342.4908425,1715.447154,0.437636761,10.33783784,2620.689655,850.2024291,11750.0,1472.049689,3.2565267284379895,5.232064639932761,6.425274128225289,1.0830988511518542,3.5744043831979755,5.8391604519183895,7.44801182535711,0.3630006272509842,2.4281456134537396,7.871574295380866,6.746649972319211,9.371693622333941,7.2950901490912345,37.688510399,5182.618976399999,0.007272097478774614,0.1031980342702394,0.0002972975463892119,0.2230374174278266,0.023554481255316864,19625.670508629,1509.6669622022307,3059.2669305213667,11750.0,0.437636761,11749.562363239,-0.421060040966232,0.6184094994604133,0.6635345754959843,106.48572872326429
2204,3.605220228,373.9837398,506.25,9.769094139,89.44723618,450.5494505,662.601626,0.743982495,12.83783784,675.862069,591.0931174,102500.0,757.7639752,1.527190492233679,5.926882664496983,6.229003978705924,2.3766803779744285,4.504766655044986,6.112684891776568,6.497682008584535,0.556171288165772,2.6274067125515335,6.51746751360232,6.383663915420179,11.537627833610571,6.631690760919077,26.956134702,3342.2419089000005,0.008065285346986306,0.2882868871104549,0.0009818129633595006,0.006593776282862501,0.11804102463217624,106634.50734878199,8202.654411444768,27222.715116328098,102500.0,0.743982495,102499.256017505,0.026354807809441737,0.8879859523808165,0.4591147704873605,70.70608707338693
2293,1.712887439,573.1707317,1131.25,9.058614565,82.4120603,857.1428571,1516.260163,0.393873085,10.47297297,242.0689655,1360.323887,53375.0,1788.819876,0.9980135433210577,6.352926794078531,7.031962082436324,2.30842943799089,4.423792906823653,6.7547705857449065,7.3246614629963815,0.3320862644346305,2.4399940928480492,5.49334521171647,7.216212951562009,10.885116485718418,7.489870265838509,21.638348059000002,7226.967514800001,0.00299411170891429,0.3083410903830002,0.00022018599528341443,0.004535249939025101,0.04607063090008363,60948.086888659,4688.314376050693,14068.253307592146,53375.0,0.393873085,53374.606126915,0.026354807809441737,0.8879859523808165,0.4591147704873605,70.70608707338693
6153,33.76835237,365.4471545,912.5,21.31438721,120.1005025,609.8901099,2500.0,10.94091904,28.58108108,15793.10345,1364.37247,162750.0,2006.21118,3.5487075583568717,5.9038543212987316,6.817283375818062,3.1052316368034365,4.796620800013691,6.414917090131972,7.824445930877619,2.4799710765265885,3.387135004282147,9.667391949991755,7.219182542191195,11.99997670444518,7.604501564984887,94.60473970000001,7758.420914400001,0.012193813758185672,0.36379867491704315,0.005453523110436697,0.09703903809464184,0.05986433713330999,186516.2296066,14347.40227743077,43033.48674964893,162750.0,10.94091904,162739.05908096,-0.4046168518560416,-0.6915872147069142,0.598324600570659,138.32801575487633
4124,14.97553018,303.3333333,888.3125,10.8348135,86.63316583,562.2710623,2619.105691,2.363238512,21.14864865,5164.827586,1280.97166,44245.0,1871.118012,2.771058187819302,5.71812359181733,6.79044869230591,2.4710454844978877,4.473159531654716,6.333760972843122,7.87096993601784,1.2129043526339813,3.0977764856006726,8.549820598340803,7.156154531152029,10.697520250869932,7.534825695648853,49.322230841999996,7525.112258600001,0.006554351502076027,0.2531267461340579,0.0012630087977246148,0.11673245758578976,0.046300214752943,57070.895241272,4390.068864713231,11592.297021709197,44245.0,2.363238512,44242.636761488,0.048496475748108815,0.7340240389074433,0.6773896974017373,68.69216904162128
4246,16.85154976,268.1707317,716.5625,10.8348135,76.4321608,462.0879121,1997.560976,3.63238512,20.13513514,1338.275862,1025.910931,69687.5,1502.42236,2.8820903257454136,5.595345868605685,6.575860051854031,2.4710454844978877,4.349402208505444,6.137916911008272,7.600182688569093,1.5330718801650818,3.0509368281312654,7.199884345382906,6.934310478806276,11.151790590309403,7.3154993615874035,51.45388351999999,5972.7154107999995,0.00861482256769594,0.27618882146185153,0.002417685741566249,0.01920395855757196,0.050872619300692104,77126.37731712,5932.798255163077,18415.438720008453,69687.5,3.63238512,69683.86761488,0.04888080317078744,0.7339985455948543,0.6773896974017373,68.66236810443888
1589,0.489396411,72.35772358,381.25,1.953818828,4.522613065,181.3186813,918.699187,0.10940919,0.540540541,34.48275862,558.7044534,20000.0,900.621118,0.3983709445963255,4.295347796659764,5.946074844809171,1.0830988511518542,1.7088511296199842,5.2057561520240405,6.824046645924353,0.10382761236167275,0.43213335548857135,3.5690469058281393,6.327408882628211,9.90353755128617,6.804194385255161,3.09316497,3012.9511632800004,0.001026623002281276,1.2496124660982235,0.00012148192807368534,0.001724137930913793,0.005021660018390041,23055.049699935,1773.4653615334614,5271.582908912189,20000.0,0.10940919,19999.89059081,-0.40720747260998297,0.6637218802179912,0.6274195884497746,103.62843581842965
361,50.44045677,608.5365854,1868.875,39.78685613,135.9798995,1137.912088,9359.756098,3.698030635,28.17567568,2363.103448,3268.825911,22807.5,6452.857143,3.94042495955557,6.412698972386494,7.533626862694625,3.708359875831002,4.91983419608574,7.03782877697409,9.144281345909988,1.5471434070754009,3.3733353374588546,7.768154137297832,8.092492024247795,10.034888552484807,8.772433237721751,122.10101921500001,22696.7628254,0.0053796667017631606,0.6427840559579334,0.0005730842249372442,0.1036108055638009,0.021072820374837663,48125.447192115,3701.9574763165388,6156.415398419592,22807.5,3.698030635,22803.801969365,-0.055614853753853916,0.7396538686896357,0.67068557653672,76.6724162848266
