lat,lon,class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
33.3,102.29,detrital,6.084828711,100.8130081,327.5,1.776198934,21.95979899,188.6446886,1239.837398,1.028446389,4.72972973,2120.689655,481.7813765,87000,807.4534161
33.3,102.29,detrital,75.20391517,396.3414634,850,91.47424512,175.3768844,558.6080586,3126.01626,29.5404814,75,10482.75862,1246.963563,88750,2062.111801
33.3,102.29,detrital,17.78140294,1191.056911,2962.5,67.85079929,366.8341709,1978.021978,7276.422764,16.71772429,108.7837838,25517.24138,3991.902834,89125,5863.354037
33.3,102.29,detrital,195.7585644,991.8699187,1400,390.7637655,542.7135678,1168.498168,3085.365854,182.4945295,357.4324324,16517.24138,1692.307692,91875,2490.68323
33.3,102.29,detrital,97.55301794,471.5447154,1037.5,62.87744227,164.8241206,721.6117216,2686.99187,65.20787746,101.3513514,10172.41379,1421.052632,115125,2099.378882
33.3,102.29,detrital,82.54486134,393.0894309,1162.5,21.13676732,118.5929648,699.6336996,3361.788618,43.76367615,48.31081081,8000,1672.064777,117875,2689.440994
33.3,102.29,detrital,140.6199021,1341.463415,2968.75,45.11545293,410.5527638,2179.487179,5894.308943,97.81181619,139.8648649,23551.72414,3672.064777,152000,5037.267081
33.3,102.29,detrital,64.27406199,1191.056911,3125,28.59680284,362.3115578,2014.652015,7154.471545,27.13347921,108.7837838,36586.2069,4170.040486,202500,5869.565217
33.3,102.29,detrital,3.278955954,158.9430894,407.5,26.82060391,55.27638191,271.0622711,1345.528455,4.398249453,18.44594595,344.8275862,578.9473684,1912.5,925.4658385
33.3,102.29,detrital,27.56933116,540.6504065,1143.75,35.1687389,224.120603,780.2197802,2426.829268,42.45076586,82.43243243,693.1034483,1449.392713,2912.5,1900.621118
33.3,102.29,detrital,25.1223491,95.12195122,234.375,5.861456483,35.42713568,152.9304029,605.6910569,1.838074398,9.189189189,1148.275862,323.0769231,3362.5,466.4596273
33.3,102.29,detrital,4.84502447,87.80487805,357.5,8.348134991,17.53768844,190.4761905,2154.471545,2.013129103,7.094594595,162.0689655,647.7732794,6712.5,1093.167702
33.3,102.29,detrital,130.8319739,500,1187.5,47.77975133,189.9497487,831.5018315,3211.382114,36.3238512,76.35135135,2986.206897,1570.850202,6887.5,2335.403727
33.3,102.29,detrital,15.26916803,244.3089431,615.625,13.14387211,88.94472362,406.5934066,1321.138211,5.426695842,29.59459459,1134.482759,781.3765182,6912.5,1062.111801
33.3,102.29,detrital,6.835236542,238.6178862,376.875,57.72646536,107.0351759,300.3663004,865.8536585,4.463894967,40.2027027,789.6551724,497.9757085,6975,732.9192547
33.3,102.29,detrital,31.81076672,240.6504065,718.75,11.01243339,65.82914573,445.0549451,2158.536585,10.19693654,21.01351351,1706.896552,1032.388664,8300,1608.695652
33.3,102.29,detrital,26.75367047,212.601626,582.5,10.65719361,60.30150754,390.1098901,1666.666667,4.398249453,25.2027027,2834.482759,813.7651822,8600,1223.602484
33.3,102.29,detrital,20.22838499,35.44715447,49.375,10.8348135,25.42713568,43.58974359,75.6097561,2.647702407,13.24324324,1506.896552,61.13360324,8800,73.91304348
33.3,102.29,detrital,11.69657423,157.3170732,432.5,15.98579041,55.77889447,289.3772894,1276.422764,1.925601751,13.04054054,1844.827586,615.3846154,9012.5,900.621118
33.3,102.29,detrital,10.73409462,271.1382114,775,14.92007105,72.86432161,500,2044.715447,1.925601751,17.02702703,1796.551724,1101.214575,9587.5,1546.583851
33.3,102.29,detrital,42.08809135,394.7154472,900,34.28063943,165.8291457,620.8791209,2207.317073,16.03938731,63.17567568,3862.068966,1190.283401,9587.5,1714.285714
33.3,102.29,detrital,104.0783034,332.5203252,712.5,35.1687389,143.2160804,523.8095238,1646.341463,13.65426696,58.17567568,3724.137931,931.1740891,11787.5,1322.981366
33.3,102.29,detrital,14.89396411,1650.406504,1437.5,360.5683837,864.321608,1576.923077,1752.03252,22.31947484,218.2432432,1434.482759,1384.615385,12375,1621.118012
33.3,102.29,detrital,8.874388254,375.203252,831.25,4.795737123,138.6934673,593.4065934,1739.837398,8.993435449,37.63513514,3620.689655,1060.728745,13500,1440.993789
33.3,102.29,detrital,28.22185971,113.8211382,444.375,10.65719361,30.75376884,232.6007326,2146.341463,1.969365427,10.13513514,2903.448276,720.6477733,13875,1335.403727
33.3,102.29,detrital,24.95921697,121.5447154,336.25,4.440497336,34.27135678,206.959707,1000,1.903719912,8.108108108,2817.241379,469.6356275,14125,726.7080745
33.3,102.29,detrital,13.71941272,532.5203252,550.625,119.1829485,272.361809,547.6190476,784.5528455,8.140043764,77.7027027,3093.103448,562.7530364,14250,695.6521739
33.3,102.29,detrital,65.08972268,261.3821138,637.5,20.60390764,100,430.4029304,1589.430894,42.88840263,49.7972973,2972.413793,854.2510121,15250,1198.757764
33.3,102.29,detrital,24.46982055,410.5691057,1150,21.31438721,101.0050251,723.4432234,3126.01626,5.448577681,24.45945946,3655.172414,1587.044534,17000,2310.559006
33.3,102.29,detrital,99.67373573,234.9593496,743.75,19.36056838,82.4120603,443.2234432,2378.04878,59.73741794,48.17567568,3158.62069,1060.728745,17250,1708.074534
33.3,102.29,detrital,42.90375204,319.9186992,837.5,18.65008881,94.47236181,534.7985348,2426.829268,10.02188184,27.02702703,3396.551724,1149.797571,17500,1763.975155
33.3,102.29,detrital,57.42251223,837.398374,1831.25,5.150976909,312.0603015,1309.52381,3910.569106,24.50765864,99.32432432,8689.655172,2259.109312,17750,3124.223602
33.3,102.29,detrital,28.05872757,365.4471545,887.5,23.09058615,120.6030151,608.0586081,2418.699187,11.29102845,38.98648649,3517.241379,1194.331984,18625,1795.031056
33.3,102.29,detrital,52.03915171,120.3252033,423.125,6.21669627,37.68844221,238.0952381,1609.756098,2.035010941,10.47297297,4379.310345,659.9190283,18750,1055.900621
33.3,102.29,detrital,33.27895595,1138.211382,2450,7.460035524,379.8994975,1783.882784,4390.243902,19.01531729,102.027027,2913.793103,3044.534413,19375,3826.086957
33.3,102.29,detrital,26.26427406,197.9674797,563.125,25.39964476,59.79899497,340.6593407,2036.585366,5.164113786,21.82432432,4689.655172,854.2510121,21250,1372.670807
33.3,102.29,detrital,19.08646003,185.3658537,616.875,13.32149201,44.52261307,353.4798535,2422.764228,2.078774617,9.527027027,2768.965517,951.417004,22125,1596.273292
